epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,188.762,2.33093,5.67762,1.14008,0.00068,0.03225,0.00043,0.00015,2.0148,0.44902,0.43212,0.0003,0.0003,0.0003
2,303.874,1.83,0.54332,0.3322,0.16888,0.06703,0.00479,0.00098,1.7529,0.63675,0.34879,0.000603961,0.000603961,0.000603961
3,412.149,1.34353,0.77251,0.20374,0.67029,0.05872,0.02167,0.00932,1.6098,0.67122,0.45764,0.000901784,0.000901784,0.000901784
4,515.303,1.02675,0.74591,0.13358,0.48744,0.33424,0.33066,0.14508,0.9733,0.68449,0.15839,0.0009703,0.0009703,0.0009703
5,622.38,0.90568,0.66294,0.09716,0.67944,0.31034,0.37729,0.16902,1.4353,0.41218,0.48611,0.0009604,0.0009604,0.0009604
6,746.806,0.83038,0.62665,0.08642,0.79695,0.5981,0.65936,0.30269,0.66209,0.63122,0.06527,0.0009505,0.0009505,0.0009505
7,848.758,0.77164,0.58027,0.07799,0.8099,0.75915,0.80715,0.3578,0.58383,0.57135,0.05556,0.0009406,0.0009406,0.0009406
8,1034.78,0.72383,0.54374,0.06741,0.86017,0.78206,0.80798,0.38606,0.63731,0.53796,0.07061,0.0009307,0.0009307,0.0009307
9,1251.78,0.70922,0.51996,0.06578,0.82639,0.80829,0.84762,0.38788,0.5885,0.52309,0.05579,0.0009208,0.0009208,0.0009208
10,1423.72,0.65948,0.50458,0.06238,0.88523,0.85618,0.90269,0.41197,0.58066,0.50685,0.05699,0.0009109,0.0009109,0.0009109
11,1522.84,0.75221,0.50626,0.07388,0.90603,0.84609,0.90257,0.40226,0.58612,0.50652,0.05789,0.000901,0.000901,0.000901
12,1682.42,0.69641,0.49557,0.07005,0.88604,0.8723,0.89755,0.43921,0.54776,0.50062,0.05126,0.0008911,0.0008911,0.0008911
13,1802.42,0.6596,0.49794,0.06214,0.90253,0.87591,0.90306,0.42842,0.55476,0.48435,0.04983,0.0008812,0.0008812,0.0008812
14,1911.82,0.6255,0.47172,0.05656,0.91705,0.86924,0.92487,0.40572,0.58075,0.46099,0.05258,0.0008713,0.0008713,0.0008713
15,2083.06,0.62077,0.45527,0.05376,0.91586,0.92747,0.95121,0.43532,0.55564,0.46003,0.05047,0.0008614,0.0008614,0.0008614
16,2187.97,0.60684,0.45512,0.05534,0.92839,0.91293,0.94423,0.44652,0.544,0.45922,0.05005,0.0008515,0.0008515,0.0008515
17,2366.91,0.6313,0.45778,0.05264,0.9236,0.90749,0.93443,0.45639,0.53431,0.46752,0.04834,0.0008416,0.0008416,0.0008416
18,2551.54,0.59872,0.45584,0.05461,0.95435,0.90874,0.94315,0.46058,0.52486,0.45245,0.04667,0.0008317,0.0008317,0.0008317
19,2671.51,0.59487,0.45432,0.04778,0.92669,0.92856,0.9484,0.48458,0.50602,0.45387,0.04592,0.0008218,0.0008218,0.0008218
20,2797.71,0.58372,0.44584,0.04897,0.92351,0.90287,0.93022,0.47131,0.52177,0.46046,0.04696,0.0008119,0.0008119,0.0008119
21,2973.61,0.56878,0.44708,0.04771,0.94223,0.90593,0.94822,0.47211,0.52182,0.45286,0.04697,0.000802,0.000802,0.000802
22,3107.53,0.5706,0.44343,0.04938,0.95298,0.9165,0.94909,0.48114,0.51978,0.4402,0.04781,0.0007921,0.0007921,0.0007921
23,3215.2,0.55251,0.44106,0.04588,0.95189,0.91294,0.94608,0.46836,0.52214,0.45135,0.04836,0.0007822,0.0007822,0.0007822
24,3434.89,0.57512,0.43838,0.04728,0.94701,0.94805,0.96367,0.48,0.52166,0.43809,0.0478,0.0007723,0.0007723,0.0007723
25,3606.59,0.54559,0.435,0.0448,0.95314,0.91821,0.95085,0.46745,0.53394,0.44313,0.04796,0.0007624,0.0007624,0.0007624
26,3721.13,0.54681,0.44402,0.04619,0.97574,0.95833,0.97434,0.50454,0.49616,0.43145,0.04371,0.0007525,0.0007525,0.0007525
27,3841.34,0.55459,0.45113,0.04667,0.91539,0.87548,0.88134,0.36988,0.61825,0.47896,0.0585,0.0007426,0.0007426,0.0007426
28,3982.98,0.53952,0.44345,0.04547,0.94059,0.94159,0.95936,0.49633,0.50471,0.45233,0.04519,0.0007327,0.0007327,0.0007327
29,4093.06,0.53769,0.43992,0.04478,0.96408,0.9357,0.96722,0.50394,0.49054,0.44571,0.04377,0.0007228,0.0007228,0.0007228
30,4198.08,0.51819,0.43611,0.04157,0.95047,0.92935,0.95305,0.4747,0.51163,0.45835,0.04539,0.0007129,0.0007129,0.0007129
31,4296.93,0.53004,0.43903,0.04492,0.96406,0.91778,0.95146,0.50146,0.50633,0.44167,0.04827,0.000703,0.000703,0.000703
32,4458.98,0.51997,0.43295,0.04323,0.94935,0.94143,0.96566,0.49387,0.51463,0.44651,0.04629,0.0006931,0.0006931,0.0006931
33,4620.19,0.50554,0.42513,0.04275,0.95322,0.94393,0.95748,0.48146,0.51788,0.43364,0.04679,0.0006832,0.0006832,0.0006832
34,4746.51,0.51823,0.43464,0.04218,0.96203,0.93068,0.94872,0.47861,0.50687,0.44981,0.04627,0.0006733,0.0006733,0.0006733
35,4902.57,0.54001,0.44236,0.04243,0.97399,0.93372,0.96118,0.49253,0.50928,0.43086,0.0456,0.0006634,0.0006634,0.0006634
36,5057.93,0.52555,0.43625,0.04026,0.95913,0.93579,0.95907,0.49379,0.50709,0.43689,0.0463,0.0006535,0.0006535,0.0006535
37,5156.51,0.49899,0.43556,0.03989,0.95006,0.93635,0.95066,0.48072,0.51979,0.44185,0.04661,0.0006436,0.0006436,0.0006436
38,5260.04,0.50528,0.43412,0.04135,0.96699,0.94003,0.96031,0.47229,0.53119,0.44539,0.0466,0.0006337,0.0006337,0.0006337
39,5369.9,0.50077,0.42735,0.04175,0.95192,0.92588,0.95251,0.48011,0.52167,0.43389,0.04649,0.0006238,0.0006238,0.0006238
40,5501,0.51215,0.425,0.04018,0.95251,0.94287,0.95622,0.49974,0.4973,0.43056,0.04367,0.0006139,0.0006139,0.0006139
41,5662.2,0.50586,0.42707,0.04183,0.95659,0.9345,0.96001,0.48866,0.5087,0.43277,0.04579,0.000604,0.000604,0.000604
42,5772.02,0.4923,0.42447,0.0384,0.95782,0.93723,0.95851,0.46109,0.52846,0.44212,0.04719,0.0005941,0.0005941,0.0005941
43,5910.22,0.48172,0.42049,0.03562,0.95608,0.93867,0.95743,0.49566,0.49698,0.44517,0.04401,0.0005842,0.0005842,0.0005842
44,6098.03,0.46197,0.42212,0.03755,0.97043,0.93831,0.96549,0.51512,0.49076,0.42795,0.04405,0.0005743,0.0005743,0.0005743
45,6260.44,0.47187,0.42237,0.0376,0.97629,0.95274,0.97305,0.52113,0.4712,0.43121,0.04169,0.0005644,0.0005644,0.0005644
46,6387.19,0.47484,0.4162,0.036,0.97363,0.95429,0.9656,0.50638,0.50071,0.42141,0.04563,0.0005545,0.0005545,0.0005545
47,6520.23,0.44405,0.40578,0.0337,0.95473,0.93176,0.95026,0.47691,0.5204,0.43595,0.04594,0.0005446,0.0005446,0.0005446
48,6779.72,0.45946,0.41691,0.03614,0.97308,0.95705,0.96757,0.51273,0.49104,0.42514,0.04385,0.0005347,0.0005347,0.0005347
49,6947.29,0.48258,0.41718,0.03873,0.96112,0.9377,0.9586,0.50788,0.48781,0.4396,0.04353,0.0005248,0.0005248,0.0005248
50,7049.35,0.45946,0.42038,0.03393,0.97056,0.96976,0.96883,0.51901,0.48484,0.41626,0.04354,0.0005149,0.0005149,0.0005149
51,7167.33,0.44756,0.40756,0.03496,0.9741,0.95634,0.96643,0.50135,0.49349,0.42793,0.04343,0.000505,0.000505,0.000505
52,7309.99,0.45833,0.40788,0.03538,0.96276,0.96402,0.95992,0.51025,0.48773,0.42822,0.04413,0.0004951,0.0004951,0.0004951
53,7440.85,0.45789,0.41268,0.03618,0.96671,0.92821,0.96122,0.49429,0.50377,0.44238,0.04572,0.0004852,0.0004852,0.0004852
54,7531.68,0.46129,0.41163,0.03608,0.96239,0.95654,0.96096,0.47412,0.51919,0.43442,0.04705,0.0004753,0.0004753,0.0004753
55,7696.33,0.46563,0.41316,0.0356,0.9598,0.95373,0.95763,0.49404,0.5095,0.43157,0.04544,0.0004654,0.0004654,0.0004654
56,7867.28,0.44619,0.41753,0.03348,0.95372,0.9563,0.95646,0.4877,0.51299,0.4361,0.04586,0.0004555,0.0004555,0.0004555
57,8029.49,0.46142,0.41552,0.0347,0.96718,0.95616,0.95969,0.50225,0.50773,0.42989,0.04544,0.0004456,0.0004456,0.0004456
58,8119.91,0.43434,0.406,0.03308,0.96994,0.94833,0.96203,0.4935,0.50764,0.43043,0.0459,0.0004357,0.0004357,0.0004357
59,8278.1,0.43375,0.40478,0.03497,0.97514,0.95036,0.96655,0.48474,0.51768,0.42325,0.04699,0.0004258,0.0004258,0.0004258
60,8377.87,0.43009,0.4033,0.03314,0.97143,0.95967,0.96903,0.52241,0.48401,0.42993,0.04341,0.0004159,0.0004159,0.0004159
61,8537.39,0.44201,0.40816,0.034,0.97371,0.95005,0.96586,0.50228,0.49953,0.42337,0.04555,0.000406,0.000406,0.000406
