epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.489,3.71914,17.9187,1.86237,0.00068,0.01544,0.00038,0.00017,3.02074,38.1305,1.41915,0.00015,0.00015,0.00015
2,175.455,2.73856,4.33897,1.2062,0.11357,0.36483,0.09591,0.03572,2.39617,inf,1.13754,0.000306931,0.000306931,0.000306931
3,200.55,2.18306,2.29122,1.03705,0.2368,0.51739,0.25293,0.10627,2.2273,inf,1.11097,0.000460694,0.000460694,0.000460694
4,221.756,2.12267,1.75625,1.00565,0.45368,0.58079,0.3836,0.13996,2.20654,inf,1.0792,0.000611289,0.000611289,0.000611289
5,243.062,2.0238,1.57577,0.97225,0.45787,0.65382,0.41339,0.17351,nan,nan,nan,0.000758716,0.000758716,0.000758716
6,272.533,1.92265,1.37519,0.98004,0.31527,0.61928,0.26246,0.10722,nan,nan,nan,0.000902975,0.000902975,0.000902975
7,293.704,1.98873,1.33831,0.97505,0.42203,0.67054,0.34666,0.13607,2.08358,inf,1.02843,0.0009406,0.0009406,0.0009406
8,315.751,1.99399,1.24134,0.98605,0.91775,0.74949,0.82123,0.3334,1.97827,1.16723,0.98881,0.0009307,0.0009307,0.0009307
9,339.664,1.8982,1.22377,0.95107,0.48135,0.74653,0.4322,0.19598,1.82952,inf,0.96275,0.0009208,0.0009208,0.0009208
10,380.945,1.81589,1.07571,0.96106,0.77109,0.66641,0.69851,0.26465,2.10627,1.47604,1.02288,0.0009109,0.0009109,0.0009109
11,411.295,1.89489,1.05014,0.97054,0.89982,0.75317,0.79907,0.32215,1.96533,1.12396,0.98817,0.000901,0.000901,0.000901
12,434.055,1.91959,1.10766,0.95899,0.74574,0.69422,0.69818,0.26122,2.05354,1.24314,0.99642,0.0008911,0.0008911,0.0008911
13,457.443,1.87674,1.05023,0.96536,0.9135,0.7504,0.83484,0.3622,1.89301,1.05983,0.9671,0.0008812,0.0008812,0.0008812
14,480.92,1.72775,0.96036,0.93132,0.88922,0.80725,0.87249,0.38831,1.82093,0.93282,0.96059,0.0008713,0.0008713,0.0008713
15,503.705,1.79634,1.01059,0.95718,0.93422,0.80864,0.86936,0.41743,1.81793,0.91388,0.97825,0.0008614,0.0008614,0.0008614
16,526.895,1.76545,0.97878,0.94214,0.93239,0.82458,0.87764,0.38526,1.90871,0.95522,0.96658,0.0008515,0.0008515,0.0008515
17,548.865,1.75766,0.93957,0.92458,0.92205,0.79971,0.87225,0.39016,1.83558,0.96313,0.96826,0.0008416,0.0008416,0.0008416
18,580.905,1.74982,0.90167,0.93944,0.93782,0.84284,0.88225,0.42271,1.78157,0.85824,0.94594,0.0008317,0.0008317,0.0008317
19,603.032,1.76081,0.92441,0.91853,0.93076,0.85387,0.89446,0.41593,1.78811,0.89997,0.95306,0.0008218,0.0008218,0.0008218
20,625.175,1.69763,0.86323,0.94236,0.93155,0.84629,0.91017,0.43378,1.72079,0.84618,0.9374,0.0008119,0.0008119,0.0008119
21,647.562,1.66438,0.88938,0.91221,0.90586,0.82157,0.89273,0.42804,1.80428,0.88998,0.96916,0.000802,0.000802,0.000802
22,681.266,1.73859,0.8849,0.91988,0.96506,0.88054,0.92144,0.43602,1.74266,0.81729,0.94866,0.0007921,0.0007921,0.0007921
23,704.106,1.64683,0.84177,0.90477,0.94963,0.8798,0.91,0.43742,1.72658,0.82986,0.94068,0.0007822,0.0007822,0.0007822
24,726.285,1.68181,0.84016,0.91464,0.93089,0.8915,0.91565,0.45545,1.72021,0.82233,0.93907,0.0007723,0.0007723,0.0007723
25,749.163,1.66474,0.85012,0.9114,0.95807,0.88119,0.92277,0.46273,1.69149,0.79147,0.9336,0.0007624,0.0007624,0.0007624
26,771.597,1.63555,0.82134,0.89509,0.86913,0.80924,0.85937,0.38426,1.85536,0.89303,0.96241,0.0007525,0.0007525,0.0007525
27,795.992,1.68714,0.84432,0.92224,0.92204,0.81433,0.87134,0.36857,1.91815,0.90048,0.96471,0.0007426,0.0007426,0.0007426
28,827.662,1.60202,0.79451,0.90851,0.90455,0.84342,0.87936,0.39093,1.89433,0.85951,0.97191,0.0007327,0.0007327,0.0007327
29,848.962,1.6639,0.79896,0.89808,0.96024,0.87059,0.91183,0.45472,1.70601,0.78076,0.9281,0.0007228,0.0007228,0.0007228
30,870.71,1.61881,0.7957,0.89995,0.94777,0.89831,0.93657,0.48449,1.67952,0.75516,0.9299,0.0007129,0.0007129,0.0007129
31,892.461,1.58372,0.77725,0.91588,0.95152,0.89653,0.93444,0.49615,1.64737,0.78006,0.92571,0.000703,0.000703,0.000703
32,914.694,1.59448,0.80054,0.8933,0.93316,0.87353,0.91795,0.47263,1.66942,0.79142,0.93281,0.0006931,0.0006931,0.0006931
33,936.811,1.59444,0.77095,0.90707,0.94817,0.89285,0.92947,0.47353,1.67495,0.77664,0.93023,0.0006832,0.0006832,0.0006832
34,958.164,1.61095,0.78017,0.89878,0.95589,0.86424,0.92369,0.46622,1.72827,0.78378,0.93358,0.0006733,0.0006733,0.0006733
35,979.326,1.5689,0.74739,0.89249,0.95722,0.88323,0.92506,0.46404,1.70763,0.77431,0.93079,0.0006634,0.0006634,0.0006634
36,1000.58,1.54169,0.74068,0.89979,0.92021,0.90659,0.93698,0.47212,1.69526,0.78704,0.92852,0.0006535,0.0006535,0.0006535
37,1025.39,1.61857,0.76774,0.89439,0.96528,0.89763,0.93125,0.48719,1.66761,0.74954,0.92975,0.0006436,0.0006436,0.0006436
38,1049.8,1.55061,0.76254,0.88319,0.94397,0.89616,0.92489,0.46119,1.71142,0.74757,0.93154,0.0006337,0.0006337,0.0006337
39,1073.02,1.51044,0.72232,0.87825,0.96436,0.86545,0.92288,0.45742,1.71083,0.77608,0.92758,0.0006238,0.0006238,0.0006238
40,1094.86,1.5758,0.74834,0.89458,0.94915,0.86469,0.91445,0.4289,1.7898,0.78162,0.94381,0.0006139,0.0006139,0.0006139
41,1117.01,1.56139,0.74484,0.88535,0.95483,0.89734,0.93282,0.45206,1.74221,0.80688,0.93764,0.000604,0.000604,0.000604
42,1140.91,1.5521,0.72327,0.88583,0.95667,0.89634,0.92879,0.46118,1.70045,0.77297,0.92794,0.0005941,0.0005941,0.0005941
43,1169.67,1.47902,0.70307,0.87796,0.97032,0.91191,0.94655,0.48161,1.67164,0.72341,0.9257,0.0005842,0.0005842,0.0005842
44,1191.01,1.48762,0.6985,0.87402,0.95008,0.89676,0.93727,0.46594,1.69423,0.73648,0.92884,0.0005743,0.0005743,0.0005743
45,1212.38,1.48099,0.69726,0.87812,0.97375,0.90058,0.94444,0.48044,1.69035,0.72994,0.9269,0.0005644,0.0005644,0.0005644
46,1233.58,1.45824,0.7016,0.87374,0.98367,0.9011,0.94818,0.46801,1.70582,0.72241,0.93207,0.0005545,0.0005545,0.0005545
47,1254.7,1.4511,0.69586,0.87028,0.97119,0.91346,0.94471,0.4788,1.70141,0.73404,0.93037,0.0005446,0.0005446,0.0005446
48,1276.05,1.46486,0.70739,0.86654,0.97537,0.88291,0.9421,0.47013,1.69926,0.74836,0.93079,0.0005347,0.0005347,0.0005347
49,1297.01,1.50477,0.68825,0.87335,0.95966,0.87038,0.90897,0.43104,1.76388,0.79637,0.93703,0.0005248,0.0005248,0.0005248
50,1318.4,1.48005,0.6804,0.88351,0.97204,0.88926,0.9493,0.48948,1.64806,0.72528,0.91533,0.0005149,0.0005149,0.0005149
51,1340.29,1.42119,0.68956,0.86818,0.95231,0.89199,0.94166,0.4706,1.69893,0.72901,0.92792,0.000505,0.000505,0.000505
