epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8314,3.86541,8.61956,1.95087,0,0,0,0,3.19047,5.59676,1.32221,0.00015,0.00015,0.00015
2,58.7662,3.22495,6.03038,1.34847,0,0,0,0,2.5747,4.89168,1.12799,0.000306931,0.000306931,0.000306931
3,67.6605,2.74277,4.82984,1.15368,0.00074,0.0532,0.01364,0.00335,2.79992,4.1007,1.23541,0.000460694,0.000460694,0.000460694
4,75.8062,2.6194,3.9765,1.11583,0.00757,0.30878,0.13982,0.06313,2.38584,3.65472,1.07923,0.000611289,0.000611289,0.000611289
5,84.1269,2.47953,3.52787,1.06726,0.00896,0.3813,0.17024,0.07337,2.40444,3.50315,1.09778,0.000758716,0.000758716,0.000758716
6,96.4051,2.33812,3.15344,1.05151,0.66857,0.09704,0.30038,0.10076,2.52252,2.77847,1.14999,0.000902975,0.000902975,0.000902975
7,107.935,2.30189,2.90613,1.02693,0.62922,0.26106,0.32333,0.10299,2.57852,2.40667,1.19575,0.0009406,0.0009406,0.0009406
8,115.993,2.29424,2.67793,1.0392,0.70134,0.24314,0.4122,0.16232,2.27333,2.42348,1.07171,0.0009307,0.0009307,0.0009307
9,123.956,2.2385,2.5109,1.00988,0.5572,0.44306,0.4569,0.18012,2.19063,2.02745,1.01598,0.0009208,0.0009208,0.0009208
10,132.074,2.08737,2.22046,1.00893,0.6545,0.50855,0.57623,0.24063,2.09912,1.81721,1.01892,0.0009109,0.0009109,0.0009109
11,139.984,2.20867,2.20448,1.02547,0.6469,0.56258,0.58058,0.24354,2.07349,1.62601,0.99687,0.000901,0.000901,0.000901
12,147.976,2.21584,2.17427,1.00647,0.71603,0.51813,0.61106,0.25794,2.06054,1.56232,0.99664,0.0008911,0.0008911,0.0008911
13,156.566,2.11615,2.00803,1.00511,0.73518,0.59056,0.67573,0.30479,1.9576,1.45843,0.97542,0.0008812,0.0008812,0.0008812
14,164.936,1.98072,1.79272,0.97577,0.7197,0.62511,0.67227,0.28289,2.00159,1.56277,0.98661,0.0008713,0.0008713,0.0008713
15,172.66,2.04934,1.79356,0.99724,0.80889,0.60511,0.71141,0.31106,2.0186,1.36044,0.99285,0.0008614,0.0008614,0.0008614
16,180.494,1.99159,1.68108,0.98615,0.76689,0.61827,0.69894,0.31006,1.97659,1.37023,0.97568,0.0008515,0.0008515,0.0008515
17,188.765,1.97404,1.62763,0.96109,0.73045,0.67097,0.72409,0.30933,1.9897,1.30259,0.97293,0.0008416,0.0008416,0.0008416
18,197.067,2.0173,1.66738,0.98776,0.78599,0.68749,0.75963,0.35289,1.91418,1.22859,0.97075,0.0008317,0.0008317,0.0008317
19,205.133,2.02214,1.63202,0.96121,0.82574,0.6566,0.74824,0.34042,1.9231,1.28466,0.97243,0.0008218,0.0008218,0.0008218
20,213.625,1.9238,1.5254,0.97994,0.85419,0.6873,0.77085,0.36242,1.88143,1.13707,0.9662,0.0008119,0.0008119,0.0008119
21,222.181,1.94314,1.4951,0.95795,0.87639,0.68555,0.77393,0.33464,2.00579,1.22952,0.99514,0.000802,0.000802,0.000802
22,229.986,2.01894,1.53925,0.96126,0.78688,0.62831,0.77032,0.33657,1.91477,1.40043,0.96071,0.0007921,0.0007921,0.0007921
23,239.023,1.93205,1.51833,0.94774,0.78359,0.67807,0.73964,0.32913,1.9251,1.2528,0.96888,0.0007822,0.0007822,0.0007822
24,246.934,1.9,1.39175,0.94231,0.83409,0.67042,0.74574,0.34236,1.93029,1.24682,0.96184,0.0007723,0.0007723,0.0007723
25,254.729,1.81948,1.31556,0.93189,0.88691,0.6898,0.76387,0.36678,1.82476,1.16901,0.95009,0.0007624,0.0007624,0.0007624
26,262.467,1.85954,1.33827,0.93001,0.87786,0.70454,0.79286,0.36788,1.85211,1.1953,0.95251,0.0007525,0.0007525,0.0007525
27,270.107,1.89433,1.33268,0.94827,0.87171,0.72898,0.80373,0.36423,1.87751,1.13049,0.9507,0.0007426,0.0007426,0.0007426
28,277.698,1.80913,1.23012,0.93839,0.84748,0.74388,0.80967,0.37015,1.91931,1.09459,0.96123,0.0007327,0.0007327,0.0007327
29,285.302,1.85974,1.29007,0.92413,0.87321,0.71863,0.81347,0.37106,1.87622,1.09537,0.94604,0.0007228,0.0007228,0.0007228
30,293.092,1.82955,1.26635,0.92873,0.82608,0.75593,0.80152,0.32872,2.00553,1.08907,0.96268,0.0007129,0.0007129,0.0007129
31,300.664,1.83527,1.20143,0.95608,0.7935,0.68531,0.75731,0.35067,1.92789,1.11219,0.96115,0.000703,0.000703,0.000703
32,308.283,1.87139,1.25287,0.93778,0.84088,0.73387,0.79462,0.33945,1.96964,1.08026,0.96446,0.0006931,0.0006931,0.0006931
33,315.862,1.8374,1.23084,0.94047,0.85022,0.76741,0.81706,0.38641,1.8404,1.04359,0.94872,0.0006832,0.0006832,0.0006832
34,323.496,1.8286,1.2161,0.92836,0.89799,0.75872,0.85898,0.3887,1.87645,1.03635,0.9572,0.0006733,0.0006733,0.0006733
35,331.043,1.80367,1.15423,0.92301,0.89036,0.78967,0.85028,0.41221,1.8444,0.96856,0.94932,0.0006634,0.0006634,0.0006634
36,338.591,1.7554,1.13567,0.92677,0.91923,0.76628,0.84245,0.38251,1.90776,0.96461,0.96102,0.0006535,0.0006535,0.0006535
37,346.207,1.84432,1.13857,0.93061,0.90222,0.78968,0.85888,0.40108,1.80398,0.97594,0.9335,0.0006436,0.0006436,0.0006436
38,353.759,1.76644,1.13091,0.91229,0.85406,0.77075,0.84733,0.3951,1.84532,1.04894,0.93829,0.0006337,0.0006337,0.0006337
39,361.365,1.78115,1.11767,0.917,0.83125,0.76336,0.83413,0.3724,1.87544,1.06331,0.94398,0.0006238,0.0006238,0.0006238
40,368.999,1.82378,1.14463,0.93082,0.91095,0.76847,0.83607,0.37992,1.86863,0.9947,0.94607,0.0006139,0.0006139,0.0006139
41,376.547,1.77477,1.12214,0.91716,0.87989,0.79531,0.84857,0.41103,1.77885,0.96938,0.93362,0.000604,0.000604,0.000604
42,384.119,1.77448,1.09583,0.91688,0.92863,0.80988,0.87469,0.41512,1.79126,0.93304,0.93617,0.0005941,0.0005941,0.0005941
43,391.695,1.67261,1.03952,0.90453,0.92323,0.80484,0.87606,0.41394,1.78855,0.95291,0.93548,0.0005842,0.0005842,0.0005842
44,399.309,1.71907,1.05175,0.90419,0.92885,0.80392,0.86984,0.41881,1.77351,0.92924,0.93125,0.0005743,0.0005743,0.0005743
45,406.925,1.66289,1.00164,0.89854,0.88877,0.80509,0.86756,0.41882,1.79586,0.95804,0.94021,0.0005644,0.0005644,0.0005644
46,414.492,1.70256,1.02104,0.90905,0.91629,0.78882,0.86918,0.42184,1.75376,0.96481,0.93006,0.0005545,0.0005545,0.0005545
47,422.092,1.67506,0.99744,0.90256,0.93604,0.80113,0.87296,0.41858,1.77426,0.94364,0.93238,0.0005446,0.0005446,0.0005446
48,429.686,1.70102,1.0205,0.89755,0.91366,0.79331,0.86362,0.42336,1.78811,0.9441,0.9362,0.0005347,0.0005347,0.0005347
49,437.423,1.73802,1.01939,0.90846,0.84894,0.83052,0.8705,0.41485,1.79975,0.9665,0.93498,0.0005248,0.0005248,0.0005248
50,445.224,1.68384,0.98109,0.9096,0.9517,0.81933,0.89507,0.43364,1.72193,0.86999,0.92243,0.0005149,0.0005149,0.0005149
51,452.993,1.66164,0.99102,0.8997,0.94585,0.7938,0.87139,0.41965,1.74934,0.88101,0.92745,0.000505,0.000505,0.000505
