epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5847,3.95493,45.727,2.04994,1e-05,0.00231,1e-05,0,3.49812,43.8605,1.74939,0.00015,0.00015,0.00015
2,61.9338,3.15532,6.76115,1.37846,0.10606,0.17116,0.05427,0.0244,2.46038,7.08215,1.11645,0.000306931,0.000306931,0.000306931
3,73.0805,2.47328,3.1618,1.10118,0.26825,0.29637,0.15578,0.06072,2.19833,13.6513,1.06657,0.000460694,0.000460694,0.000460694
4,83.9696,2.32779,2.28544,1.05494,0.48203,0.40857,0.42061,0.16453,2.21768,3.94131,1.06017,0.000611289,0.000611289,0.000611289
5,94.9255,2.17348,1.93545,1.00878,0.64683,0.50267,0.52594,0.2071,2.18001,1.71287,1.05391,0.000758716,0.000758716,0.000758716
6,105.77,2.07171,1.63388,1.01362,0.5063,0.46756,0.40822,0.15832,2.12298,3.74263,1.01729,0.000902975,0.000902975,0.000902975
7,124.073,2.08556,1.63305,0.99311,0.67432,0.63985,0.5867,0.24617,1.97062,2.02139,0.99247,0.0009406,0.0009406,0.0009406
8,135.827,2.01369,1.45994,0.98991,0.5413,0.67654,0.4814,0.19315,1.97705,5.91822,0.99066,0.0009307,0.0009307,0.0009307
9,146.729,1.95999,1.39494,0.96397,0.87867,0.7307,0.80586,0.34856,1.90617,1.17122,0.97746,0.0009208,0.0009208,0.0009208
10,157.535,1.88145,1.25799,0.97699,0.79528,0.71268,0.76313,0.33852,1.97153,1.17491,0.98618,0.0009109,0.0009109,0.0009109
11,168.375,1.95686,1.27675,0.98088,0.85212,0.7796,0.81938,0.34786,1.90121,1.10584,0.97727,0.000901,0.000901,0.000901
12,179.399,1.9427,1.22758,0.9649,0.83551,0.70706,0.76189,0.30504,1.99652,1.1409,0.98415,0.0008911,0.0008911,0.0008911
13,190.838,1.93012,1.18077,0.96757,0.90633,0.78215,0.85123,0.38838,1.86077,1.00792,0.96508,0.0008812,0.0008812,0.0008812
14,202.486,1.77538,1.06531,0.9418,0.89134,0.67933,0.82878,0.36281,1.86867,1.06122,0.96506,0.0008713,0.0008713,0.0008713
15,214.373,1.85503,1.12448,0.95922,0.91641,0.78678,0.85077,0.36631,1.94666,0.98745,0.98914,0.0008614,0.0008614,0.0008614
16,225.632,1.7748,1.04184,0.94802,0.93845,0.81308,0.87451,0.41488,1.80106,0.93279,0.94702,0.0008515,0.0008515,0.0008515
17,236.676,1.79353,1.00923,0.93353,0.92335,0.78448,0.86263,0.39164,1.87774,0.98361,0.96882,0.0008416,0.0008416,0.0008416
